sample_code,Pond,rawdata,size,layer,Prop_fungi,Prop_methanotroph,depth ,O2 ,Temp ,CH4 ,CO2  ,FeII ,FeIII ,NH4 ,NO2,NO3,pH,PO4 ,SO4 ,TOC,Total_N ,C_to_N,,methanotrophs,sample
A_1,SAS_2A,S21_L005,old,epilimnion,0.220967761,17.49878029,0.55,3.9,12.2,70.06238785,512.9708545,5.584221026,2.653643052,3,0,0,6.25,1,0,11.22666667,NA,NA,,,a1
A_2,SAS_2A,S22_L005,old,meta,0.180740763,9.725158562,0.95,0.33,9.6,610.6931906,2207.772949,12.84019168,5.271458803,4,0.012,0,5.79,1,0.7,20.04666667,1.024705307,19.56334815,,,a2
A_3,SAS_2A,S23_L005,old,hypo,0.075368363,2.699625955,1.35,0.29,7.9,1454.607958,4817.152535,48.00826189,6.651932281,1,0,0,5.88,2,0,21.02666667,1.222841448,17.19492474,,,a3
A_4,SAS_2A,S24_L005,old,hypo,0.109458158,1.073345259,2.25,0.35,5.6,1763.91357,5340.903426,81.93739033,7.305328112,130,0,0.1,6.01,2,0.14,22.56,1.250751474,18.03715644,,,a4
B_1,B1-B2,S25_L005,medium,epilimnion,1.738612091,2.40689543,0.15,5.3,11.5,2.307790096,296.4524808,4.871880164,1.764042166,6,0,0.09,4.86,3,0.5,29.81666667,1.426374495,20.90381367,,,b1
B_2,B1-B2,S26_L005,medium,meta,1.023461984,2.03285087,0.45,1,9.9,9.707038583,418.0361836,7.245028885,2.468563348,88,0.013,0.09,4.57,5,0.9,31.53333333,NA,NA,,,b2
C_2,C2-C4,S28_L006,medium,epilimnion,0.167568961,3.52902911,0.15,6.97,11.9,15.02245391,258.2075937,3.918505129,0.858193901,7,0,0,4.87,3,0,17.92333333,1.360778755,13.17137945,,,b4
C_3,C2-C4,S29_L006,medium,meta,0.455625574,2.358107009,0.45,1.35,10.9,165.5998183,535.3016293,5.513122023,1.807266326,11,0,0,5.03,5,1.36,20.78666667,1.387896073,14.97710605,,,c2
C_4,C2-C4,S30_L006,medium,meta,0.264295059,0.845665962,0.75,0.88,8.7,789.787569,1536.154899,10.61077191,-0.324364147,56,0,0,5.16,8,1.49,17.66333333,1.517511248,11.6396721,,,c3
C_5,C5,S31_L006,emerge,epilimnion,1.159469174,3.85428525,0,4,13.5,113.7722303,1029.620459,12.71042137,1.896374748,4,0,0,4.44,4,0.27,39.50333333,1.498662328,26.35906207,,,c4
D_1,SAS_2B,S32_L006,old,epilimnion,0.363249466,3.626605952,0.15,4.57,13.8,123.5319509,916.5614182,15.21572688,4.094952731,32,0,0,6.04,110,0.26,17.71333333,0.908376978,19.49998047,,,c5
D_2,SAS_2B,S33_L007,old,meta,0.108596499,5.789559278,0.45,1.74,11.7,308.8152581,1744.296498,21.05674183,8.399568846,82,0,0,5.87,4,0.19,16.74666667,1.030963988,16.24369703,,,d1
D_3,SAS_2B,S34_L007,old,hypo,0.054901224,3.789234022,1.25,0.18,7.7,661.6893603,2940.240373,61.07008074,0.255161979,180,0,0.11,6.23,2,0.15,17.77,1.41294155,12.57659951,,,d2
D_4,SAS_2B,S35_L007,old,hypo,0.054440404,0.341518946,2.05,0.22,5.8,1815.022519,4650.247768,94.31928838,3.238964044,800,0,0,6.01,2,0.5,23.16333333,1.77428523,13.05502235,,,d3
E_1,SAS_2C,S36_L007,old,epilimnion,2.403910203,6.960481379,0.25,4.8,12.4,28.49043454,413.6496788,5.10399882,2.769787588,7,0,0,6.38,0,0,12.76333333,0.737889216,17.29708614,,,d4
E_2,SAS_2C,S37_L007,old,meta,0.300947483,9.838998211,0.75,0.81,11,274.242974,1176.890389,8.767826331,3.610814446,9,0,0.12,6.12,2,0,13.8,0.923353536,14.94552137,,,e1
E_3,SAS_2C,S38_L007,old,hypo,0.117230614,1.967799642,1.35,0.47,8,1160.828808,3110.391101,46.02509953,14.78558008,310,0,0.17,6.07,5,0,18.38333333,1.222841448,15.03329263,,,e2
E_4,SAS_2C,S39_L007,old,hypo,0.013199987,1.138396487,1.85,0.5,6.3,1939.171466,4511.065499,82.41018294,11.34709861,660,0,0.1,6.04,2,0,19.66,1.643841149,11.95979308,,,e3
F_2,SAS_2D,NA,old,epilimnion,0.198956234,4.342169458,0.45,6.3,13.7,9.234614019,370.8109382,3.69867908,2.427534512,8,0,0.08,6.16,1,0.4,9.922,0.636310971,15.59300476,,,e4
F_3,SAS_2D,S40_L008,old,meta,0.063789952,3.968124898,1.05,1.5,10.9,498.1244595,2875.621042,19.24698179,19.76272695,0,0,0.14,5.81,3,0,13.68333333,1.325688246,10.32168262,,,f1
F_4,SAS_2D,S41_L008,old,hypo,0.035337862,0.552935437,1.65,0.22,7.9,2458.636699,5265.470828,88.93228942,14.75703097,99,0,0,5.93,1,0.17,19.67,1.702222598,11.55548048,,,f3
F_5,SAS_2D,S42_L008,old,hypo,0.167240571,0.227679297,2.35,0.26,5.1,2870.840572,6344.78671,123.1994421,8.601528816,960,0,0.1,6.11,1,0,21.01,2.790462787,7.529217052,,,f4
G_1,G1,S43_L008,medium,epilimnion,0.512689638,3.366401041,0.15,6,12.5,34.23472855,393.6725738,6.693482538,5.500692219,6,0,0,4.5,NA,0,31.21,1.645675658,18.96485486,,,f5
H_1,H1,NA,emerge,epilimnion,0.330226063,NA,0,6.3,13.7,217.2030849,992.7832036,6.873684063,1.106898461,0,0,0.1,4.78,6,0.21,25.87,1.65117524,15.66762835,,,g1
I_1,I1-I2,S44_L008,medium,epilimnion,0.910396022,0.650512278,0.1,1.36,10.5,461.6853388,2118.605186,14.55782471,2.466447134,160,0,0.11,6.21,43,3.9,35.05666667,2.019056867,17.36289217,,,i1
I_2,I1-I2,S45_L008,medium,meta,0.801141627,0.422832981,0.35,0.57,10,578.2769905,2735.352394,20.95700511,0.125519165,360,0,0.13,6.21,150,12.9,39.59,3.111919268,12.7220524,,,i2
I_3,I3,S46_L008,emerge,epilimnion,0.713846672,9.237274354,0,0.75,11.3,458.2324075,896.4368109,16.08287355,0.985087615,5,0,0,4.75,17,2.4,28.13333333,2.387854131,11.78184754,,,i3
B_4,B4,S27_L006,emerge,epilimnion,1.423429483,1.073345259,0,7.65,14.6,19.26603668,1068.698168,2.694782778,-1.204491515,12,NA,NA,4.24,97,NA,46.13,2.403849529,19.19005306,,,